Meas. m/z,#,Ion Formula,Score,m/z,err [ppm],Mean err [ppm],mSigma,rdb,e¯ Conf,N-Rule,H/C,KM [CH2],KMD [CH2],I,N/C,NKM [CH2],O/C,O/N,S/C
170.202903,1,C12H26,100,170.202902,0,0,9.8,0.5,odd,ok,2.167,170.012852,-0.012852,180345664,0,170,0,0,0
,1,C12H26,100,170.202902,0,0,9.8,0.5,odd,ok,2.167,170.012852,-0.012852,,0,170,0,0,0
,1,C12H26,100,170.202902,0,0,9.8,0.5,odd,ok,2.167,170.012852,-0.012852,,0,170,0,0,0
,1,C12H26,100,170.202902,0,0,9.8,0.5,odd,ok,2.167,170.012852,-0.012852,,0,170,0,0,0
,1,C12H26,100,170.202902,0,0,9.8,0.5,odd,ok,2.167,170.012852,-0.012852,,0,170,0,0,0
,1,C12H26,100,170.202902,0,0,9.8,0.5,odd,ok,2.167,170.012852,-0.012852,,0,170,0,0,0
171.17435,1,C11H23O,100,171.174342,0,0,n.a.,1,even,ok,2.091,170.983215,0.016785,573722,0,171,0.091,0,0
,1,C11H23O,100,171.174342,0,0,n.a.,1,even,ok,2.091,170.983215,0.016785,,0,171,0.091,0,0
,1,C11H23O,100,171.174342,0,0,n.a.,1,even,ok,2.091,170.983215,0.016785,,0,171,0.091,0,0
,1,C11H23O,100,171.174342,0,0,n.a.,1,even,ok,2.091,170.983215,0.016785,,0,171,0.091,0,0
,1,C11H23O,100,171.174342,0,0,n.a.,1,even,ok,2.091,170.983215,0.016785,,0,171,0.091,0,0
,1,C11H23O,100,171.174342,0,0,n.a.,1,even,ok,2.091,170.983215,0.016785,,0,171,0.091,0,0
171.21073,1,C12H27,100,171.210727,0,0,19.1,0,even,ok,2.25,171.019554,-0.019554,5900070,0,171,0,0,0
,1,C12H27,100,171.210727,0,0,19.1,0,even,ok,2.25,171.019554,-0.019554,,0,171,0,0,0
,1,C12H27,100,171.210727,0,0,19.1,0,even,ok,2.25,171.019554,-0.019554,,0,171,0,0,0
,1,C12H27,100,171.210727,0,0,19.1,0,even,ok,2.25,171.019554,-0.019554,,0,171,0,0,0
,1,C12H27,100,171.210727,0,0,19.1,0,even,ok,2.25,171.019554,-0.019554,,0,171,0,0,0
,1,C12H27,100,171.210727,0,0,19.1,0,even,ok,2.25,171.019554,-0.019554,,0,171,0,0,0
,1,C12H27,100,171.210727,0,0,19.1,0,even,ok,2.25,171.019554,-0.019554,,0,171,0,0,0
172.182139,1,C11H24O,100,172.182167,0.2,0.1,n.a.,0.5,odd,ok,2.182,171.989879,0.010121,602165,0,172,0.091,0,0
,1,C11H24O,100,172.182167,0.2,0.1,n.a.,0.5,odd,ok,2.182,171.989879,0.010121,,0,172,0.091,0,0
,1,C11H24O,100,172.182167,0.2,0.1,n.a.,0.5,odd,ok,2.182,171.989879,0.010121,,0,172,0.091,0,0
,1,C11H24O,100,172.182167,0.2,0.1,n.a.,0.5,odd,ok,2.182,171.989879,0.010121,,0,172,0.091,0,0
,1,C11H24O,100,172.182167,0.2,0.1,n.a.,0.5,odd,ok,2.182,171.989879,0.010121,,0,172,0.091,0,0
,1,C11H24O,100,172.182167,0.2,0.1,n.a.,0.5,odd,ok,2.182,171.989879,0.010121,,0,172,0.091,0,0
172.205999,1,C11H26N,100,172.205976,-0.1,-0.1,n.a.,0,even,ok,2.364,172.013712,-0.013712,1218276,0.091,172,0,0,0
,1,C11H26N,100,172.205976,-0.1,-0.1,n.a.,0,even,ok,2.364,172.013712,-0.013712,,0.091,172,0,0,0
,1,C11H26N,100,172.205976,-0.1,-0.1,n.a.,0,even,ok,2.364,172.013712,-0.013712,,0.091,172,0,0,0
,1,C11H26N,100,172.205976,-0.1,-0.1,n.a.,0,even,ok,2.364,172.013712,-0.013712,,0.091,172,0,0,0
,1,C11H26N,100,172.205976,-0.1,-0.1,n.a.,0,even,ok,2.364,172.013712,-0.013712,,0.091,172,0,0,0
,1,C11H26N,100,172.205976,-0.1,-0.1,n.a.,0,even,ok,2.364,172.013712,-0.013712,,0.091,172,0,0,0
,1,C11H26N,100,172.205976,-0.1,-0.1,n.a.,0,even,ok,2.364,172.013712,-0.013712,,0.091,172,0,0,0
173.190007,1,C11H25O,100,173.189992,-0.1,0,n.a.,0,even,ok,2.273,172.996621,0.003379,948860,0,173,0.091,0,0
,1,C11H25O,100,173.189992,-0.1,0,n.a.,0,even,ok,2.273,172.996621,0.003379,,0,173,0.091,0,0
,1,C11H25O,100,173.189992,-0.1,0,n.a.,0,even,ok,2.273,172.996621,0.003379,,0,173,0.091,0,0
,1,C11H25O,100,173.189992,-0.1,0,n.a.,0,even,ok,2.273,172.996621,0.003379,,0,173,0.091,0,0
,1,C11H25O,100,173.189992,-0.1,0,n.a.,0,even,ok,2.273,172.996621,0.003379,,0,173,0.091,0,0
,1,C11H25O,100,173.189992,-0.1,0,n.a.,0,even,ok,2.273,172.996621,0.003379,,0,173,0.091,0,0
175.151489,1,C10H23S,100,175.151498,0.1,-1,64.8,2,even,ok,2.3,174.955913,0.044087,2054424,0,175,0,0,0.1
,1,C10H23S,100,175.151498,0.1,-1,64.8,2,even,ok,2.3,174.955913,0.044087,,0,175,0,0,0.1
,1,C10H23S,100,175.151498,0.1,-1,64.8,2,even,ok,2.3,174.955913,0.044087,,0,175,0,0,0.1
,1,C10H23S,100,175.151498,0.1,-1,64.8,2,even,ok,2.3,174.955913,0.044087,,0,175,0,0,0.1
,1,C10H23S,100,175.151498,0.1,-1,64.8,2,even,ok,2.3,174.955913,0.044087,,0,175,0,0,0.1
,1,C10H23S,100,175.151498,0.1,-1,64.8,2,even,ok,2.3,174.955913,0.044087,,0,175,0,0,0.1
176.155906,1,C13H20,100,176.155952,0.3,-4.4,358.4,4.5,odd,ok,1.538,175.959209,0.040791,504699,0,176,0,0,0
,1,C13H20,100,176.155952,0.3,-4.4,358.4,4.5,odd,ok,1.538,175.959209,0.040791,,0,176,0,0,0
,1,C13H20,100,176.155952,0.3,-4.4,358.4,4.5,odd,ok,1.538,175.959209,0.040791,,0,176,0,0,0
,1,C13H20,100,176.155952,0.3,-4.4,358.4,4.5,odd,ok,1.538,175.959209,0.040791,,0,176,0,0,0
,1,C13H20,100,176.155952,0.3,-4.4,358.4,4.5,odd,ok,1.538,175.959209,0.040791,,0,176,0,0,0
,1,C13H20,100,176.155952,0.3,-4.4,358.4,4.5,odd,ok,1.538,175.959209,0.040791,,0,176,0,0,0
176.159299,1,C10H24S,100,176.159323,0.1,0.1,20.7,1.5,odd,ok,2.4,175.962598,0.037402,3827242,0,176,0,0,0.1
,1,C10H24S,100,176.159323,0.1,0.1,20.7,1.5,odd,ok,2.4,175.962598,0.037402,,0,176,0,0,0.1
,1,C10H24S,100,176.159323,0.1,0.1,20.7,1.5,odd,ok,2.4,175.962598,0.037402,,0,176,0,0,0.1
,1,C10H24S,100,176.159323,0.1,0.1,20.7,1.5,odd,ok,2.4,175.962598,0.037402,,0,176,0,0,0.1
,1,C10H24S,100,176.159323,0.1,0.1,20.7,1.5,odd,ok,2.4,175.962598,0.037402,,0,176,0,0,0.1
,1,C10H24S,100,176.159323,0.1,0.1,20.7,1.5,odd,ok,2.4,175.962598,0.037402,,0,176,0,0,0.1
178.171592,1,C13H22,100,178.171602,0.1,0,7.9,3.5,odd,ok,1.692,177.972644,0.027356,14590657,0,178,0,0,0
,1,C13H22,100,178.171602,0.1,0,7.9,3.5,odd,ok,1.692,177.972644,0.027356,,0,178,0,0,0
,1,C13H22,100,178.171602,0.1,0,7.9,3.5,odd,ok,1.692,177.972644,0.027356,,0,178,0,0,0
,1,C13H22,100,178.171602,0.1,0,7.9,3.5,odd,ok,1.692,177.972644,0.027356,,0,178,0,0,0
,1,C13H22,100,178.171602,0.1,0,7.9,3.5,odd,ok,1.692,177.972644,0.027356,,0,178,0,0,0
,1,C13H22,100,178.171602,0.1,0,7.9,3.5,odd,ok,1.692,177.972644,0.027356,,0,178,0,0,0
179.179405,1,C13H23,100,179.179427,0.1,0.1,7.5,3,even,ok,1.769,178.979331,0.020669,6431412,0,179,0,0,0
,1,C13H23,100,179.179427,0.1,0.1,7.5,3,even,ok,1.769,178.979331,0.020669,,0,179,0,0,0
,1,C13H23,100,179.179427,0.1,0.1,7.5,3,even,ok,1.769,178.979331,0.020669,,0,179,0,0,0
,1,C13H23,100,179.179427,0.1,0.1,7.5,3,even,ok,1.769,178.979331,0.020669,,0,179,0,0,0
,1,C13H23,100,179.179427,0.1,0.1,7.5,3,even,ok,1.769,178.979331,0.020669,,0,179,0,0,0
,1,C13H23,100,179.179427,0.1,0.1,7.5,3,even,ok,1.769,178.979331,0.020669,,0,179,0,0,0
180.187257,1,C13H24,100,180.187252,0,0,11.7,2.5,odd,ok,1.846,179.986058,0.013942,31315504,0,180,0,0,0
,1,C13H24,100,180.187252,0,0,11.7,2.5,odd,ok,1.846,179.986058,0.013942,,0,180,0,0,0
,1,C13H24,100,180.187252,0,0,11.7,2.5,odd,ok,1.846,179.986058,0.013942,,0,180,0,0,0
,1,C13H24,100,180.187252,0,0,11.7,2.5,odd,ok,1.846,179.986058,0.013942,,0,180,0,0,0
,1,C13H24,100,180.187252,0,0,11.7,2.5,odd,ok,1.846,179.986058,0.013942,,0,180,0,0,0
,1,C13H24,100,180.187252,0,0,11.7,2.5,odd,ok,1.846,179.986058,0.013942,,0,180,0,0,0
181.158685,1,C12H21O,100,181.158692,0,0,n.a.,3,even,ok,1.75,180.956402,0.043598,708298,0,181,0.083,0,0
,1,C12H21O,100,181.158692,0,0,n.a.,3,even,ok,1.75,180.956402,0.043598,,0,181,0.083,0,0
,1,C12H21O,100,181.158692,0,0,n.a.,3,even,ok,1.75,180.956402,0.043598,,0,181,0.083,0,0
,1,C12H21O,100,181.158692,0,0,n.a.,3,even,ok,1.75,180.956402,0.043598,,0,181,0.083,0,0
,1,C12H21O,100,181.158692,0,0,n.a.,3,even,ok,1.75,180.956402,0.043598,,0,181,0.083,0,0
,1,C12H21O,100,181.158692,0,0,n.a.,3,even,ok,1.75,180.956402,0.043598,,0,181,0.083,0,0
