Meas. m/z,#,Ion Formula,Score,m/z,err [ppm],Mean err [ppm],mSigma,rdb,e¯ Conf,N-Rule,KM [CH2],KMD [CH2],NKM [CH2],I,H/C,N/C,O/C,O/N,S/C,rdb
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,158.013684,-0.013684,158,,2.4,0.1,0,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,158.013684,-0.013684,158,,2.4,0.1,0,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,158.013684,-0.013684,158,,2.4,0.1,0,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,158.013684,-0.013684,158,,2.4,0.1,0,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,158.013684,-0.013684,158,,2.4,0.1,0,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,158.013684,-0.013684,158,,2.4,0.1,0,0,0,0
159.174338,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,158.996602,0.003398,159,1257629,2.3,0,0.1,0,0,0
,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,158.996602,0.003398,159,,2.3,0,0.1,0,0,0
,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,158.996602,0.003398,159,,2.3,0,0.1,0,0,0
,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,158.996602,0.003398,159,,2.3,0,0.1,0,0,0
,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,158.996602,0.003398,159,,2.3,0,0.1,0,0,0
,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,158.996602,0.003398,159,,2.3,0,0.1,0,0,0
161.135833,1,C9H21S,100,161.135848,0.1,0,n.a.,2,even,ok,160.955907,0.044093,161,1783093,2.333,0,0,0,0.111,2
,1,C9H21S,100,161.135848,0.1,0,n.a.,2,even,ok,160.955907,0.044093,161,,2.333,0,0,0,0.111,2
,1,C9H21S,100,161.135848,0.1,0,n.a.,2,even,ok,160.955907,0.044093,161,,2.333,0,0,0,0.111,2
